,left_gaze_point,right_gaze_point,time_stamp
94,"(-230.4969482421875, 298.2223205566406, 9.100000381469727)","(-258.697509765625, 316.974365234375, 9.100000381469727)",1167631294339750
95,"(-226.78912353515625, 300.571533203125, 9.100000381469727)","(-260.6138610839844, 319.4750061035156, 9.100000381469727)",1167631294371668
96,"(-225.3506622314453, 296.6416015625, 9.100000381469727)","(-259.9881591796875, 317.6330261230469, 9.100000381469727)",1167631294402082
97,"(-225.74945068359375, 297.70953369140625, 9.100000381469727)","(-258.3606872558594, 319.63690185546875, 9.100000381469727)",1167631294432358
98,"(-225.96316528320312, 296.2499694824219, 9.100000381469727)","(-255.79940795898438, 316.2155456542969, 9.100000381469727)",1167631294462635
99,"(-227.25997924804688, 296.4857177734375, 9.100000381469727)","(-255.82557678222656, 318.9564514160156, 9.100000381469727)",1167631294493559
100,"(-228.95938110351562, 297.9073181152344, 9.100000381469727)","(-256.98883056640625, 319.73284912109375, 9.100000381469727)",1167631294524352
101,"(-229.15798950195312, 298.9349060058594, 9.100000381469727)","(-255.5827178955078, 322.8645324707031, 9.100000381469727)",1167631294554697
102,"(-227.7355499267578, 296.64410400390625, 9.100000381469727)","(-256.3253173828125, 319.74969482421875, 9.100000381469727)",1167631294585534
103,"(-228.07589721679688, 299.5879821777344, 9.100000381469727)","(-255.36264038085938, 322.877197265625, 9.100000381469727)",1167631294615534
104,"(-225.85777282714844, 296.1751708984375, 9.100000381469727)","(-254.19908142089844, 319.77447509765625, 9.100000381469727)",1167631294647124
105,"(-228.77252197265625, 298.4986572265625, 9.100000381469727)","(-255.7778778076172, 318.5015563964844, 9.100000381469727)",1167631294677998
106,"(-225.96124267578125, 296.0433349609375, 9.100000381469727)","(-255.71791076660156, 317.0364074707031, 9.100000381469727)",1167631294708485
107,"(-228.4918975830078, 296.7734069824219, 9.100000381469727)","(-254.33514404296875, 320.0270690917969, 9.100000381469727)",1167631294739492
108,"(-227.1805419921875, 296.1961975097656, 9.100000381469727)","(-256.5782165527344, 319.50433349609375, 9.100000381469727)",1167631294769612
109,"(-227.7825927734375, 297.2765808105469, 9.100000381469727)","(-255.16448974609375, 318.52557373046875, 9.100000381469727)",1167631294799751
110,"(-228.98193359375, 297.7531433105469, 9.100000381469727)","(-256.62249755859375, 318.9269104003906, 9.100000381469727)",1167631294831117
111,"(-228.24981689453125, 296.58831787109375, 9.100000381469727)","(-256.5255126953125, 320.1723937988281, 9.100000381469727)",1167631294862303
112,"(-228.5240936279297, 296.26654052734375, 9.100000381469727)","(-257.37939453125, 319.69464111328125, 9.100000381469727)",1167631294893451
113,"(-230.88214111328125, 298.235107421875, 9.100000381469727)","(-259.01007080078125, 320.8891906738281, 9.100000381469727)",1167631294924919
114,"(-227.13546752929688, 297.2413330078125, 9.100000381469727)","(-255.6178741455078, 319.1769104003906, 9.100000381469727)",1167631294955860
115,"(-225.2479248046875, 296.4574890136719, 9.100000381469727)","(-257.47955322265625, 318.69879150390625, 9.100000381469727)",1167631294986201
116,"(-228.2227020263672, 298.2654113769531, 9.100000381469727)","(-257.7880554199219, 320.0225830078125, 9.100000381469727)",1167631295018258
117,"(-224.38702392578125, 298.14727783203125, 9.100000381469727)","(-259.72137451171875, 318.2895202636719, 9.100000381469727)",1167631295049595
118,"(-214.6441192626953, 298.9139709472656, 9.100000381469727)","(-238.36080932617188, 319.6758728027344, 9.100000381469727)",1167631295081188
119,"(-215.21319580078125, 300.974853515625, 9.100000381469727)","(-239.28909301757812, 320.94537353515625, 9.100000381469727)",1167631295112784
120,"(-214.90306091308594, 301.3855895996094, 9.100000381469727)","(-241.48219299316406, 319.20733642578125, 9.100000381469727)",1167631295143798
121,"(-215.03578186035156, 298.5023498535156, 9.100000381469727)","(-240.42047119140625, 322.7566223144531, 9.100000381469727)",1167631295174094
122,"(-212.66207885742188, 299.0467834472656, 9.100000381469727)","(-241.61062622070312, 322.4151916503906, 9.100000381469727)",1167631295204760
123,"(-213.07235717773438, 301.8860778808594, 9.100000381469727)","(-242.88632202148438, 317.7709045410156, 9.100000381469727)",1167631295235901
124,"(-213.41969299316406, 298.7297058105469, 9.100000381469727)","(-244.35885620117188, 322.2211608886719, 9.100000381469727)",1167631295266806
125,"(-214.33189392089844, 298.9372253417969, 9.100000381469727)","(-242.66030883789062, 320.67669677734375, 9.100000381469727)",1167631295297143
126,"(-215.49862670898438, 299.0318908691406, 9.100000381469727)","(-239.9908905029297, 319.8739929199219, 9.100000381469727)",1167631295327453
127,"(-212.08175659179688, 300.63665771484375, 9.100000381469727)","(-242.1059112548828, 321.39959716796875, 9.100000381469727)",1167631295357762
128,"(-211.91783142089844, 299.2164306640625, 9.100000381469727)","(-242.58499145507812, 324.16009521484375, 9.100000381469727)",1167631295388100
129,"(-212.62002563476562, 298.6096496582031, 9.100000381469727)","(-241.55621337890625, 320.86492919921875, 9.100000381469727)",1167631295418903
130,"(-212.27066040039062, 299.5504455566406, 9.100000381469727)","(-241.26478576660156, 321.52960205078125, 9.100000381469727)",1167631295450308
131,"(-199.4473114013672, 298.40533447265625, 9.100000381469727)","(-226.85438537597656, 322.58111572265625, 9.100000381469727)",1167631295482512
132,"(-200.13375854492188, 300.0611877441406, 9.100000381469727)","(-224.71714782714844, 321.73089599609375, 9.100000381469727)",1167631295515695
133,"(-199.919189453125, 304.5885009765625, 9.100000381469727)","(-227.11691284179688, 322.22467041015625, 9.100000381469727)",1167631295547849
134,"(-202.29690551757812, 304.97955322265625, 9.100000381469727)","(nan, nan, nan)",1167631295580144
135,"(-202.47080993652344, 304.8499450683594, 9.100000381469727)","(-225.48268127441406, 323.137939453125, 9.100000381469727)",1167631295613880
136,"(-201.1830596923828, 255.2133026123047, 9.100000381469727)","(-225.19944763183594, 307.34210205078125, 9.100000381469727)",1167631295639731
137,"(nan, nan, nan)","(nan, nan, nan)",1167631295665973
138,"(nan, nan, nan)","(nan, nan, nan)",1167631295704663
139,"(nan, nan, nan)","(nan, nan, nan)",1167631295729715
140,"(nan, nan, nan)","(nan, nan, nan)",1167631295755378
141,"(-193.14759826660156, 278.4704895019531, 9.100000381469727)","(-214.02264404296875, 307.75213623046875, 9.100000381469727)",1167631295791723
142,"(-188.75816345214844, 290.42266845703125, 9.100000381469727)","(-211.7066192626953, 316.46759033203125, 9.100000381469727)",1167631295824813
143,"(nan, nan, nan)","(nan, nan, nan)",1167631295855492
144,"(-191.36907958984375, 300.3010559082031, 9.100000381469727)","(-212.1981658935547, 321.17474365234375, 9.100000381469727)",1167631295891113
145,"(-191.5437774658203, 300.42242431640625, 9.100000381469727)","(-212.28848266601562, 320.5335388183594, 9.100000381469727)",1167631295917204
146,"(-190.33242797851562, 300.8880920410156, 9.100000381469727)","(-214.32260131835938, 319.4634704589844, 9.100000381469727)",1167631295948235
147,"(-191.3054962158203, 300.52984619140625, 9.100000381469727)","(-212.36856079101562, 321.2817687988281, 9.100000381469727)",1167631295978154
148,"(-173.6366424560547, 297.0159606933594, 9.100000381469727)","(-194.71791076660156, 314.87255859375, 9.100000381469727)",1167631296009143
149,"(-172.9737548828125, 298.7318420410156, 9.100000381469727)","(-193.21917724609375, 312.6451416015625, 9.100000381469727)",1167631296040218
150,"(-173.17665100097656, 299.38287353515625, 9.100000381469727)","(-193.67828369140625, 315.8413391113281, 9.100000381469727)",1167631296072411
151,"(-172.3821563720703, 297.51519775390625, 9.100000381469727)","(-194.86471557617188, 316.50787353515625, 9.100000381469727)",1167631296103184
152,"(-173.8352813720703, 298.50164794921875, 9.100000381469727)","(-195.87033081054688, 313.532958984375, 9.100000381469727)",1167631296134106
153,"(-174.81546020507812, 295.22998046875, 9.100000381469727)","(-192.8499298095703, 314.98712158203125, 9.100000381469727)",1167631296164999
